date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:33	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22638a424a-247b%22	https://hextris.io/robots.txt		(from )
22:25:33	11710/11710	---M-Z	200	added ('OK')	text/html	etag:W/%226202da26-2dbe%22	https://hextris.io/	F:/web%20projects/mini%20game/minigame/hextris.io/index.html	(from )
22:25:34	1642/1642	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%226202da26-66a%22	https://hextris.io/manifest.webmanifest	F:/web%20projects/mini%20game/minigame/hextris.io/manifest.webmanifest	(from https://hextris.io/)
22:25:34	1879/1879	---M--	200	added ('OK')	image/png	etag:%226202da26-757%22	https://hextris.io/images/icons/apple-touch-120.png	F:/web%20projects/mini%20game/minigame/hextris.io/images/icons/apple-touch-120.png	(from https://hextris.io/)
22:25:34	2546/2546	---M--	200	added ('OK')	image/png	etag:%226202da26-9f2%22	https://hextris.io/images/icons/apple-touch-152.png	F:/web%20projects/mini%20game/minigame/hextris.io/images/icons/apple-touch-152.png	(from https://hextris.io/)
22:25:34	2625/2625	---M--	200	added ('OK')	image/png	etag:%226202da26-a41%22	https://hextris.io/images/icons/apple-touch-167.png	F:/web%20projects/mini%20game/minigame/hextris.io/images/icons/apple-touch-167.png	(from https://hextris.io/)
22:25:35	3023/3023	---M--	200	added ('OK')	image/png	etag:%226202da26-bcf%22	https://hextris.io/images/icons/apple-touch-180.png	F:/web%20projects/mini%20game/minigame/hextris.io/images/icons/apple-touch-180.png	(from https://hextris.io/)
22:25:35	9820/9820	---M--	200	added ('OK')	image/png	etag:%226202da26-265c%22	https://hextris.io/images/icons/apple-touch-512.png	F:/web%20projects/mini%20game/minigame/hextris.io/images/icons/apple-touch-512.png	(from https://hextris.io/)
22:26:18	99678/99678	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%226202da26-1855e%22	https://hextris.io/favicon.ico	F:/web%20projects/mini%20game/minigame/hextris.io/favicon.ico	(from https://hextris.io/)
22:26:18	20734/20734	---M-Z	200	added ('OK')	text/css	etag:W/%226202da26-50fe%22	https://hextris.io/style/fa/css/font-awesome.min.css	F:/web%20projects/mini%20game/minigame/hextris.io/style/fa/css/font-awesome.min.css	(from https://hextris.io/)
22:26:19	7978/7978	---M-Z	200	added ('OK')	text/css	etag:W/%226202da26-1f2a%22	https://hextris.io/style/style.css	F:/web%20projects/mini%20game/minigame/hextris.io/style/style.css	(from https://hextris.io/)
22:26:19	13710/13710	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-358e%22	https://hextris.io/vendor/hammer.min.js	F:/web%20projects/mini%20game/minigame/hextris.io/vendor/hammer.min.js	(from https://hextris.io/)
22:26:19	3242/3242	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-caa%22	https://hextris.io/vendor/js.cookie.js	F:/web%20projects/mini%20game/minigame/hextris.io/vendor/js.cookie.js	(from https://hextris.io/)
22:26:20	809/809	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-329%22	https://hextris.io/vendor/jsonfn.min.js	F:/web%20projects/mini%20game/minigame/hextris.io/vendor/jsonfn.min.js	(from https://hextris.io/)
22:26:20	9985/9985	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-2701%22	https://hextris.io/vendor/keypress.min.js	F:/web%20projects/mini%20game/minigame/hextris.io/vendor/keypress.min.js	(from https://hextris.io/)
22:26:20	92593/92593	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-169b1%22	https://hextris.io/vendor/jquery.js	F:/web%20projects/mini%20game/minigame/hextris.io/vendor/jquery.js	(from https://hextris.io/)
22:26:20	1343/1343	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-53f%22	https://hextris.io/js/save-state.js	F:/web%20projects/mini%20game/minigame/hextris.io/js/save-state.js	(from https://hextris.io/)
22:26:21	7422/7422	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-1cfe%22	https://hextris.io/js/view.js	F:/web%20projects/mini%20game/minigame/hextris.io/js/view.js	(from https://hextris.io/)
22:26:21	5391/5391	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-150f%22	https://hextris.io/js/wavegen.js	F:/web%20projects/mini%20game/minigame/hextris.io/js/wavegen.js	(from https://hextris.io/)
22:26:21	318/318	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-13e%22	https://hextris.io/js/math.js	F:/web%20projects/mini%20game/minigame/hextris.io/js/math.js	(from https://hextris.io/)
22:26:21	5951/5951	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-173f%22	https://hextris.io/js/Block.js	F:/web%20projects/mini%20game/minigame/hextris.io/js/Block.js	(from https://hextris.io/)
22:26:22	5005/5005	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-138d%22	https://hextris.io/js/Hex.js	F:/web%20projects/mini%20game/minigame/hextris.io/js/Hex.js	(from https://hextris.io/)
22:26:22	600/600	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-258%22	https://hextris.io/js/Text.js	F:/web%20projects/mini%20game/minigame/hextris.io/js/Text.js	(from https://hextris.io/)
22:26:22	2230/2230	---M-Z	200	added ('OK')	application/javascript	etag:W/%226202da26-8b6%22	https://hextris.io/js/comboTimer.js	F:/web%20projects/mini%20game/minigame/hextris.io/js/comboTimer.js	(from https://hextris.io/)
